"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://zibdigital.com.au/wp-content/plugins/mobile-menu/includes/css/mobmenu.css?ver=2.8.8","text/css","200","OK","Indexable","","","91","","https://zibdigital.com.au/wp-content/plugins/mobile-menu/includes/css/mobmenu.css?ver=2.8.8"
"https://zibdigital.com.au/wp-content/uploads/dynamic-mobmenu.css?ver=2.8.8-645","text/css","200","OK","Indexable","","","78","","https://zibdigital.com.au/wp-content/uploads/dynamic-mobmenu.css?ver=2.8.8-645"
"https://zibdigital.com.au/wp-content/uploads/2023/01/woocommerce.png","image/png","200","OK","Indexable","","","68","","https://zibdigital.com.au/wp-content/uploads/2023/01/woocommerce.png"
"https://zibdigital.com.au/wp-content/themes/studio45/resources/assets/scripts/jquery.nicescroll.min.js","application/javascript","200","OK","Indexable","","","102","","https://zibdigital.com.au/wp-content/themes/studio45/resources/assets/scripts/jquery.nicescroll.min.js"
"https://zibdigital.com.au/digital-marketing-agency-melbourne/","text/html; charset=UTF-8","200","OK","Indexable","","3573ccc630106a5d28f3b9f0bd63f875","61","https://zibdigital.com.au/digital-marketing-agency-melbourne/","https://zibdigital.com.au/digital-marketing-agency-melbourne/"
"https://zibdigital.com.au/google-ads-management-agency-melbourne/","text/html; charset=UTF-8","200","OK","Indexable","","4f8bc606eb81428e42ec11b2ad852b00","65","https://zibdigital.com.au/google-ads-management-agency-melbourne/","https://zibdigital.com.au/google-ads-management-agency-melbourne/"
"https://zibdigital.com.au/wp-content/themes/studio45/resources/assets/styles/font-awesome.min.css","text/css","200","OK","Indexable","","","97","","https://zibdigital.com.au/wp-content/themes/studio45/resources/assets/styles/font-awesome.min.css"
"https://zibdigital.com.au/wp-content/plugins/login-sidebar-widget/js/additional-methods.js?ver=7.0","application/javascript","200","OK","Indexable","","","98","","https://zibdigital.com.au/wp-content/plugins/login-sidebar-widget/js/additional-methods.js?ver=7.0"
"https://zibdigital.com.au/seo-melbourne/","text/html; charset=UTF-8","200","OK","Indexable","","c3968b422d26016ddaee21e49337ca45","40","https://zibdigital.com.au/seo-melbourne/","https://zibdigital.com.au/seo-melbourne/"
"https://zibdigital.com.au/wp-content/uploads/2022/11/Image-5.png","image/png","200","OK","Indexable","","","64","","https://zibdigital.com.au/wp-content/uploads/2022/11/Image-5.png"
"https://zibdigital.com.au/get-in-touch/","text/html; charset=UTF-8","200","OK","Indexable","","63c625d9fb8d6203ea8b7332e4401472","39","https://zibdigital.com.au/get-in-touch/","https://zibdigital.com.au/get-in-touch/"
"https://zibdigital.com.au/social-media-marketing-agency-canberra/","text/html; charset=UTF-8","200","OK","Indexable","","39da838e00b7b09d6a04857b745dfddf","65","https://zibdigital.com.au/social-media-marketing-agency-canberra/","https://zibdigital.com.au/social-media-marketing-agency-canberra/"
"https://zibdigital.com.au/wp-content/uploads/2022/12/inglewood-t8.jpg","image/jpeg","200","OK","Indexable","","","69","","https://zibdigital.com.au/wp-content/uploads/2022/12/inglewood-t8.jpg"
"https://zibdigital.com.au/wp-content/uploads/2022/12/blackleopard-t7.jpg","image/jpeg","200","OK","Indexable","","","72","","https://zibdigital.com.au/wp-content/uploads/2022/12/blackleopard-t7.jpg"
"https://zibdigital.com.au/wp-content/uploads/2022/12/eric-t3.jpg","image/jpeg","200","OK","Indexable","","","64","","https://zibdigital.com.au/wp-content/uploads/2022/12/eric-t3.jpg"
"https://zibdigital.com.au/wp-content/uploads/2022/11/Mask-Group-21-2.png","image/png","200","OK","Indexable","","","72","","https://zibdigital.com.au/wp-content/uploads/2022/11/Mask-Group-21-2.png"
"https://zibdigital.com.au/wp-content/plugins/login-sidebar-widget/js/jquery.validate.min.js?ver=7.0","application/javascript","200","OK","Indexable","","","99","","https://zibdigital.com.au/wp-content/plugins/login-sidebar-widget/js/jquery.validate.min.js?ver=7.0"
"https://zibdigital.com.au/wp-content/uploads/2022/12/twelveboardstore-b10.jpg","image/jpeg","200","OK","Indexable","","","77","","https://zibdigital.com.au/wp-content/uploads/2022/12/twelveboardstore-b10.jpg"
"https://zibdigital.com.au/social-media-marketing-agency-gold-coast/","text/html; charset=UTF-8","200","OK","Indexable","","1cfe6a9caa12e29558aec4e1d1b06d1c","67","https://zibdigital.com.au/social-media-marketing-agency-gold-coast/","https://zibdigital.com.au/social-media-marketing-agency-gold-coast/"
"https://zibdigital.com.au/wp-content/uploads/2022/12/lonsdalelinks-t12.jpg","image/jpeg","200","OK","Indexable","","","74","","https://zibdigital.com.au/wp-content/uploads/2022/12/lonsdalelinks-t12.jpg"
"https://zibdigital.com.au/wp-content/uploads/2022/08/Assured-Roofing.png","image/png","200","OK","Indexable","","","72","","https://zibdigital.com.au/wp-content/uploads/2022/08/Assured-Roofing.png"
"https://zibdigital.com.au/digital-marketing-adelaide/","text/html; charset=UTF-8","200","OK","Indexable","","989e24042e85a8ba691c2dd6f1616ed2","53","https://zibdigital.com.au/digital-marketing-adelaide/","https://zibdigital.com.au/digital-marketing-adelaide/"
"https://zibdigital.com.au/wp-content/uploads/2022/12/prahranhotel-t11.jpg","image/jpeg","200","OK","Indexable","","","73","","https://zibdigital.com.au/wp-content/uploads/2022/12/prahranhotel-t11.jpg"
"https://zibdigital.com.au/wp-content/uploads/2022/12/wickedsista-b8.jpg","image/jpeg","200","OK","Indexable","","","71","","https://zibdigital.com.au/wp-content/uploads/2022/12/wickedsista-b8.jpg"
